log_entry,log_level
"17/03/27 19:54:28 INFO BlockManagerInfo: Added broadcast_6_piece61 in memory on mesos-slave-06:39395 (size: 4.0 MB, free: 10.3 GB)",INFO
17/06/08 16:53:17 INFO output.FileOutputCommitter: Saved output of task 'attempt_201706081647_2427_m_000023_97103' to hdfs://10.10.34.11:9000/pjhe/test/51/_temporary/0/task_201706081647_2427_m_000023,INFO
"17/06/09 11:02:06 INFO spark.CacheManager: Partition rdd_2733_3 not found, computing it",INFO
17/03/29 23:32:35 INFO storage.ShuffleBlockFetcherIterator: Getting 202 non-empty blocks out of 202 blocks,INFO
"17/06/09 11:11:33 INFO spark.CacheManager: Partition rdd_829_6 not found, computing it",INFO
17/06/09 21:15:25 INFO broadcast.TorrentBroadcast: Reading broadcast variable 1005 took 3 ms,INFO
17/06/09 20:52:00 INFO executor.Executor: Finished task 13.0 in stage 1582.0 (TID 63573). 2206 bytes result sent to driver,INFO
17/06/09 20:39:41 INFO storage.BlockManager: Found block rdd_798_28 locally,INFO
"17/06/09 16:44:17 INFO python.PythonRunner: Times: total = 40, boot = 16, init = 24, finish = 0",INFO
17/06/08 13:48:29 INFO executor.Executor: Finished task 38.0 in stage 919.0 (TID 36798). 2364 bytes result sent to driver,INFO
